"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.753968"
"x= 10.5556, f(x) = 3.16049, t(x) = 6.48004, Yintra = -0.0795239, Yextra = 6.40051, Igx = 11.3095"
"x= 12.0635, f(x) = 3.54749, t(x) = 6.77488, Yintra = 0.160052, Yextra = 6.93493, Igx = 12.8175"
"x= 13.5714, f(x) = 3.91837, t(x) = 7.0263, Yintra = 0.405218, Yextra = 7.43152, Igx = 14.3254"
"x= 15.0794, f(x) = 4.27312, t(x) = 7.24014, Yintra = 0.653049, Yextra = 7.89318, Igx = 15.8333"
"x= 16.5873, f(x) = 4.61174, t(x) = 7.4209, Yintra = 0.901289, Yextra = 8.32219, Igx = 17.3413"
"x= 18.0952, f(x) = 4.93424, t(x) = 7.57219, Yintra = 1.14814, Yextra = 8.72034, Igx = 18.8492"
"x= 19.6032, f(x) = 5.24061, t(x) = 7.69693, Yintra = 1.39215, Yextra = 9.08908, Igx = 20.3571"
"x= 21.1111, f(x) = 5.53086, t(x) = 7.79755, Yintra = 1.63209, Yextra = 9.42964, Igx = 21.8651"
"x= 22.619, f(x) = 5.80499, t(x) = 7.87612, Yintra = 1.86693, Yextra = 9.74305, Igx = 23.373"
"x= 24.127, f(x) = 6.06299, t(x) = 7.93442, Yintra = 2.09578, Yextra = 10.0302, Igx = 24.881"
"x= 25.6349, f(x) = 6.30486, t(x) = 7.97398, Yintra = 2.31787, Yextra = 10.2919, Igx = 26.3889"
"x= 27.1429, f(x) = 6.53061, t(x) = 7.99618, Yintra = 2.53252, Yextra = 10.5287, Igx = 27.8968"
"x= 28.6508, f(x) = 6.74024, t(x) = 8.00221, Yintra = 2.73913, Yextra = 10.7413, Igx = 29.4048"
"x= 30.1587, f(x) = 6.93374, t(x) = 7.99316, Yintra = 2.93715, Yextra = 10.9303, Igx = 30.9127"
"x= 31.6667, f(x) = 7.11111, t(x) = 7.97001, Yintra = 3.1261, Yextra = 11.0961, Igx = 32.4206"
"x= 33.1746, f(x) = 7.27236, t(x) = 7.93364, Yintra = 3.30554, Yextra = 11.2392, Igx = 33.9286"
"x= 34.6825, f(x) = 7.41749, t(x) = 7.88485, Yintra = 3.47506, Yextra = 11.3599, Igx = 35.4365"
"x= 36.1905, f(x) = 7.54649, t(x) = 7.82438, Yintra = 3.63429, Yextra = 11.4587, Igx = 36.9444"
"x= 37.6984, f(x) = 7.65936, t(x) = 7.75291, Yintra = 3.78291, Yextra = 11.5358, Igx = 38.4524"
"x= 39.2063, f(x) = 7.75611, t(x) = 7.67105, Yintra = 3.92059, Yextra = 11.5916, Igx = 39.9603"
"x= 40.7143, f(x) = 7.83673, t(x) = 7.57937, Yintra = 4.04705, Yextra = 11.6264, Igx = 41.4683"
"x= 42.2222, f(x) = 7.90123, t(x) = 7.47842, Yintra = 4.16203, Yextra = 11.6404, Igx = 42.9762"
"x= 43.7302, f(x) = 7.94961, t(x) = 7.36867, Yintra = 4.26528, Yextra = 11.6339, Igx = 44.4841"
"x= 45.2381, f(x) = 7.98186, t(x) = 7.25057, Yintra = 4.35657, Yextra = 11.6071, Igx = 45.9921"
"x= 46.746, f(x) = 7.99798, t(x) = 7.12456, Yintra = 4.43571, Yextra = 11.5603, Igx = 47.5"
"x= 48.254, f(x) = 7.99798, t(x) = 6.991, Yintra = 4.50248, Yextra = 11.4935, Igx = 49.0079"
"x= 49.7619, f(x) = 7.98186, t(x) = 6.85027, Yintra = 4.55672, Yextra = 11.407, Igx = 50.5159"
"x= 51.2698, f(x) = 7.94961, t(x) = 6.70269, Yintra = 4.59826, Yextra = 11.301, Igx = 52.0238"
"x= 52.7778, f(x) = 7.90123, t(x) = 6.54857, Yintra = 4.62695, Yextra = 11.1755, Igx = 53.5317"
"x= 54.2857, f(x) = 7.83673, t(x) = 6.38818, Yintra = 4.64265, Yextra = 11.0308, Igx = 55.0397"
"x= 55.7937, f(x) = 7.75611, t(x) = 6.22178, Yintra = 4.64522, Yextra = 10.867, Igx = 56.5476"
"x= 57.3016, f(x) = 7.65936, t(x) = 6.04961, Yintra = 4.63456, Yextra = 10.6842, Igx = 58.0556"
"x= 58.8095, f(x) = 7.54649, t(x) = 5.87187, Yintra = 4.61055, Yextra = 10.4824, Igx = 59.5635"
"x= 60.3175, f(x) = 7.41749, t(x) = 5.68876, Yintra = 4.5731, Yextra = 10.2619, Igx = 61.0714"
"x= 61.8254, f(x) = 7.27236, t(x) = 5.50046, Yintra = 4.52213, Yextra = 10.0226, Igx = 62.5794"
"x= 63.3333, f(x) = 7.11111, t(x) = 5.30711, Yintra = 4.45756, Yextra = 9.76466, Igx = 64.0873"
"x= 64.8413, f(x) = 6.93374, t(x) = 5.10884, Yintra = 4.37932, Yextra = 9.48816, Igx = 65.5952"
"x= 66.3492, f(x) = 6.74024, t(x) = 4.90578, Yintra = 4.28735, Yextra = 9.19312, Igx = 67.1032"
"x= 67.8571, f(x) = 6.53061, t(x) = 4.69801, Yintra = 4.18161, Yextra = 8.87962, Igx = 68.6111"
"x= 69.3651, f(x) = 6.30486, t(x) = 4.48563, Yintra = 4.06205, Yextra = 8.54768, Igx = 70.119"
"x= 70.873, f(x) = 6.06299, t(x) = 4.26868, Yintra = 3.92865, Yextra = 8.19733, Igx = 71.627"
"x= 72.381, f(x) = 5.80499, t(x) = 4.04723, Yintra = 3.78137, Yextra = 7.8286, Igx = 73.1349"
"x= 73.8889, f(x) = 5.53086, t(x) = 3.8213, Yintra = 3.62021, Yextra = 7.44151, Igx = 74.6429"
"x= 75.3968, f(x) = 5.24061, t(x) = 3.5909, Yintra = 3.44516, Yextra = 7.03606, Igx = 76.1508"
"x= 76.9048, f(x) = 4.93424, t(x) = 3.35603, Yintra = 3.25622, Yextra = 6.61226, Igx = 77.6587"
"x= 78.4127, f(x) = 4.61174, t(x) = 3.11668, Yintra = 3.0534, Yextra = 6.17008, Igx = 79.1667"
"x= 79.9206, f(x) = 4.27312, t(x) = 2.87282, Yintra = 2.83671, Yextra = 5.70953, Igx = 80.6746"
"x= 81.4286, f(x) = 3.91837, t(x) = 2.62439, Yintra = 2.60617, Yextra = 5.23056, Igx = 82.1825"
"x= 82.9365, f(x) = 3.54749, t(x) = 2.37133, Yintra = 2.36183, Yextra = 4.73316, Igx = 83.6905"
"x= 84.4444, f(x) = 3.16049, t(x) = 2.11357, Yintra = 2.10371, Yextra = 4.21728, Igx = 85.1984"
"x= 85.9524, f(x) = 2.75737, t(x) = 1.85101, Yintra = 1.83186, Yextra = 3.68288, Igx = 86.7064"
"x= 87.4603, f(x) = 2.33812, t(x) = 1.58355, Yintra = 1.54634, Yextra = 3.1299, Igx = 88.2143"
"x= 88.9683, f(x) = 1.90275, t(x) = 1.31107, Yintra = 1.24721, Yextra = 2.55828, Igx = 89.7222"
"x= 90.4762, f(x) = 1.45125, t(x) = 1.03343, Yintra = 0.934531, Yextra = 1.96796, Igx = 91.2302"
"x= 91.9841, f(x) = 0.983623, t(x) = 0.750484, Yintra = 0.608381, Yextra = 1.35887, Igx = 92.7381"
"x= 93.4921, f(x) = 0.499874, t(x) = 0.462066, Yintra = 0.268841, Yextra = 0.730907, Igx = 94.246"
"x= 95, f(x) = 0.0000000000000284217, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 95.754"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.753968"
"x= 1.50794, f(x) = 0.499874, t(x) = 2.82547, Yintra = -0.912863, Yextra = 1.91261, Igx = 2.2619"
"x= 3.01587, f(x) = 0.983623, t(x) = 3.88436, Yintra = -0.958559, Yextra = 2.92581, Igx = 3.76984"
"x= 4.52381, f(x) = 1.45125, t(x) = 4.64174, Yintra = -0.869624, Yextra = 3.77212, Igx = 5.27778"
"x= 6.03175, f(x) = 1.90275, t(x) = 5.23724, Yintra = -0.715874, Yextra = 4.52137, Igx = 6.78571"
"x= 7.53968, f(x) = 2.33812, t(x) = 5.72524, Yintra = -0.524501, Yextra = 5.20074, Igx = 8.29365"
"x= 9.04762, f(x) = 2.75737, t(x) = 6.13388, Yintra = -0.309568, Yextra = 5.82431, Igx = 9.80159"
"x= 10.5556, f(x) = 3.16049, t(x) = 6.48004, Yintra = -0.0795239, Yextra = 6.40051, Igx = 11.3095"
"x= 12.0635, f(x) = 3.54749, t(x) = 6.77488, Yintra = 0.160052, Yextra = 6.93493, Igx = 12.8175"
"x= 13.5714, f(x) = 3.91837, t(x) = 7.0263, Yintra = 0.405218, Yextra = 7.43152, Igx = 14.3254"
"x= 15.0794, f(x) = 4.27312, t(x) = 7.24014, Yintra = 0.653049, Yextra = 7.89318, Igx = 15.8333"
"x= 16.5873, f(x) = 4.61174, t(x) = 7.4209, Yintra = 0.901289, Yextra = 8.32219, Igx = 17.3413"
"x= 18.0952, f(x) = 4.93424, t(x) = 7.57219, Yintra = 1.14814, Yextra = 8.72034, Igx = 18.8492"
"x= 19.6032, f(x) = 5.24061, t(x) = 7.69693, Yintra = 1.39215, Yextra = 9.08908, Igx = 20.3571"
"x= 21.1111, f(x) = 5.53086, t(x) = 7.79755, Yintra = 1.63209, Yextra = 9.42964, Igx = 21.8651"
"x= 22.619, f(x) = 5.80499, t(x) = 7.87612, Yintra = 1.86693, Yextra = 9.74305, Igx = 23.373"
"x= 24.127, f(x) = 6.06299, t(x) = 7.93442, Yintra = 2.09578, Yextra = 10.0302, Igx = 24.881"
"x= 25.6349, f(x) = 6.30486, t(x) = 7.97398, Yintra = 2.31787, Yextra = 10.2919, Igx = 26.3889"
"x= 27.1429, f(x) = 6.53061, t(x) = 7.99618, Yintra = 2.53252, Yextra = 10.5287, Igx = 27.8968"
"x= 28.6508, f(x) = 6.74024, t(x) = 8.00221, Yintra = 2.73913, Yextra = 10.7413, Igx = 29.4048"
"x= 30.1587, f(x) = 6.93374, t(x) = 7.99316, Yintra = 2.93715, Yextra = 10.9303, Igx = 30.9127"
"x= 31.6667, f(x) = 7.11111, t(x) = 7.97001, Yintra = 3.1261, Yextra = 11.0961, Igx = 32.4206"
"x= 33.1746, f(x) = 7.27236, t(x) = 7.93364, Yintra = 3.30554, Yextra = 11.2392, Igx = 33.9286"
"x= 34.6825, f(x) = 7.41749, t(x) = 7.88485, Yintra = 3.47506, Yextra = 11.3599, Igx = 35.4365"
"x= 36.1905, f(x) = 7.54649, t(x) = 7.82438, Yintra = 3.63429, Yextra = 11.4587, Igx = 36.9444"
"x= 37.6984, f(x) = 7.65936, t(x) = 7.75291, Yintra = 3.78291, Yextra = 11.5358, Igx = 38.4524"
"x= 39.2063, f(x) = 7.75611, t(x) = 7.67105, Yintra = 3.92059, Yextra = 11.5916, Igx = 39.9603"
"x= 40.7143, f(x) = 7.83673, t(x) = 7.57937, Yintra = 4.04705, Yextra = 11.6264, Igx = 41.4683"
"x= 42.2222, f(x) = 7.90123, t(x) = 7.47842, Yintra = 4.16203, Yextra = 11.6404, Igx = 42.9762"
"x= 43.7302, f(x) = 7.94961, t(x) = 7.36867, Yintra = 4.26528, Yextra = 11.6339, Igx = 44.4841"
"x= 45.2381, f(x) = 7.98186, t(x) = 7.25057, Yintra = 4.35657, Yextra = 11.6071, Igx = 45.9921"
"x= 46.746, f(x) = 7.99798, t(x) = 7.12456, Yintra = 4.43571, Yextra = 11.5603, Igx = 47.5"
"x= 48.254, f(x) = 7.99798, t(x) = 6.991, Yintra = 4.50248, Yextra = 11.4935, Igx = 49.0079"
"x= 49.7619, f(x) = 7.98186, t(x) = 6.85027, Yintra = 4.55672, Yextra = 11.407, Igx = 50.5159"
"x= 51.2698, f(x) = 7.94961, t(x) = 6.70269, Yintra = 4.59826, Yextra = 11.301, Igx = 52.0238"
"x= 52.7778, f(x) = 7.90123, t(x) = 6.54857, Yintra = 4.62695, Yextra = 11.1755, Igx = 53.5317"
"x= 54.2857, f(x) = 7.83673, t(x) = 6.38818, Yintra = 4.64265, Yextra = 11.0308, Igx = 55.0397"
"x= 55.7937, f(x) = 7.75611, t(x) = 6.22178, Yintra = 4.64522, Yextra = 10.867, Igx = 56.5476"
"x= 57.3016, f(x) = 7.65936, t(x) = 6.04961, Yintra = 4.63456, Yextra = 10.6842, Igx = 58.0556"
"x= 58.8095, f(x) = 7.54649, t(x) = 5.87187, Yintra = 4.61055, Yextra = 10.4824, Igx = 59.5635"
"x= 60.3175, f(x) = 7.41749, t(x) = 5.68876, Yintra = 4.5731, Yextra = 10.2619, Igx = 61.0714"
"x= 61.8254, f(x) = 7.27236, t(x) = 5.50046, Yintra = 4.52213, Yextra = 10.0226, Igx = 62.5794"
"x= 63.3333, f(x) = 7.11111, t(x) = 5.30711, Yintra = 4.45756, Yextra = 9.76466, Igx = 64.0873"
"x= 64.8413, f(x) = 6.93374, t(x) = 5.10884, Yintra = 4.37932, Yextra = 9.48816, Igx = 65.5952"
"x= 66.3492, f(x) = 6.74024, t(x) = 4.90578, Yintra = 4.28735, Yextra = 9.19312, Igx = 67.1032"
"x= 67.8571, f(x) = 6.53061, t(x) = 4.69801, Yintra = 4.18161, Yextra = 8.87962, Igx = 68.6111"
"x= 69.3651, f(x) = 6.30486, t(x) = 4.48563, Yintra = 4.06205, Yextra = 8.54768, Igx = 70.119"
"x= 70.873, f(x) = 6.06299, t(x) = 4.26868, Yintra = 3.92865, Yextra = 8.19733, Igx = 71.627"
"x= 72.381, f(x) = 5.80499, t(x) = 4.04723, Yintra = 3.78137, Yextra = 7.8286, Igx = 73.1349"
"x= 73.8889, f(x) = 5.53086, t(x) = 3.8213, Yintra = 3.62021, Yextra = 7.44151, Igx = 74.6429"
"x= 75.3968, f(x) = 5.24061, t(x) = 3.5909, Yintra = 3.44516, Yextra = 7.03606, Igx = 76.1508"
"x= 76.9048, f(x) = 4.93424, t(x) = 3.35603, Yintra = 3.25622, Yextra = 6.61226, Igx = 77.6587"
"x= 78.4127, f(x) = 4.61174, t(x) = 3.11668, Yintra = 3.0534, Yextra = 6.17008, Igx = 79.1667"
"x= 79.9206, f(x) = 4.27312, t(x) = 2.87282, Yintra = 2.83671, Yextra = 5.70953, Igx = 80.6746"
"x= 81.4286, f(x) = 3.91837, t(x) = 2.62439, Yintra = 2.60617, Yextra = 5.23056, Igx = 82.1825"
"x= 82.9365, f(x) = 3.54749, t(x) = 2.37133, Yintra = 2.36183, Yextra = 4.73316, Igx = 83.6905"
"x= 84.4444, f(x) = 3.16049, t(x) = 2.11357, Yintra = 2.10371, Yextra = 4.21728, Igx = 85.1984"
"x= 85.9524, f(x) = 2.75737, t(x) = 1.85101, Yintra = 1.83186, Yextra = 3.68288, Igx = 86.7064"
"x= 87.4603, f(x) = 2.33812, t(x) = 1.58355, Yintra = 1.54634, Yextra = 3.1299, Igx = 88.2143"
"x= 88.9683, f(x) = 1.90275, t(x) = 1.31107, Yintra = 1.24721, Yextra = 2.55828, Igx = 89.7222"
"x= 90.4762, f(x) = 1.45125, t(x) = 1.03343, Yintra = 0.934531, Yextra = 1.96796, Igx = 91.2302"
"x= 91.9841, f(x) = 0.983623, t(x) = 0.750484, Yintra = 0.608381, Yextra = 1.35887, Igx = 92.7381"
"x= 93.4921, f(x) = 0.499874, t(x) = 0.462066, Yintra = 0.268841, Yextra = 0.730907, Igx = 94.246"
"x= 95, f(x) = 0.0000000000000284217, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 95.754"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.753968"
"x= 1.50794, f(x) = 0.499874, t(x) = 2.82547, Yintra = -0.912863, Yextra = 1.91261, Igx = 2.2619"
"x= 3.01587, f(x) = 0.983623, t(x) = 3.88436, Yintra = -0.958559, Yextra = 2.92581, Igx = 3.76984"
"x= 4.52381, f(x) = 1.45125, t(x) = 4.64174, Yintra = -0.869624, Yextra = 3.77212, Igx = 5.27778"
"x= 6.03175, f(x) = 1.90275, t(x) = 5.23724, Yintra = -0.715874, Yextra = 4.52137, Igx = 6.78571"
