"x= 0.1, f(x) = 0.393333, t(x) = 2.168, Yintra = -0.690665, Yextra = 1.47733, Igx = 0.15"
"x= 0.2, f(x) = 0.773333, t(x) = 2.97756, Yintra = -0.715447, Yextra = 2.26211, Igx = 0.25"
"x= 0.3, f(x) = 1.14, t(x) = 3.55469, Yintra = -0.637343, Yextra = 2.91734, Igx = 0.35"
"x= 0.4, f(x) = 1.49333, t(x) = 4.00673, Yintra = -0.510031, Yextra = 3.4967, Igx = 0.45"
"x= 0.5, f(x) = 1.83333, t(x) = 4.37554, Yintra = -0.354435, Yextra = 4.0211, Igx = 0.55"
"x= 0.6, f(x) = 2.16, t(x) = 4.68277, Yintra = -0.181385, Yextra = 4.50139, Igx = 0.65"
"x= 0.7, f(x) = 2.47333, t(x) = 4.94146, Yintra = 0.00260404, Yextra = 4.94406, Igx = 0.75"
"x= 0.8, f(x) = 2.77333, t(x) = 5.16022, Yintra = 0.193222, Yextra = 5.35344, Igx = 0.85"
"x= 0.9, f(x) = 3.06, t(x) = 5.34516, Yintra = 0.38742, Yextra = 5.73258, Igx = 0.95"
"x= 1, f(x) = 3.33333, t(x) = 5.50081, Yintra = 0.582929, Yextra = 6.08374, Igx = 1.05"
"x= 1.1, f(x) = 3.59333, t(x) = 5.63067, Yintra = 0.777998, Yextra = 6.40867, Igx = 1.15"
"x= 1.2, f(x) = 3.84, t(x) = 5.73754, Yintra = 0.971228, Yextra = 6.70877, Igx = 1.25"
"x= 1.3, f(x) = 4.07333, t(x) = 5.82371, Yintra = 1.16148, Yextra = 6.98519, Igx = 1.35"
"x= 1.4, f(x) = 4.29333, t(x) = 5.89107, Yintra = 1.3478, Yextra = 7.23887, Igx = 1.45"
"x= 1.5, f(x) = 4.5, t(x) = 5.94124, Yintra = 1.52938, Yextra = 7.47062, Igx = 1.55"
"x= 1.6, f(x) = 4.69333, t(x) = 5.97562, Yintra = 1.70552, Yextra = 7.68115, Igx = 1.65"
"x= 1.7, f(x) = 4.87333, t(x) = 5.99543, Yintra = 1.87562, Yextra = 7.87105, Igx = 1.75"
"x= 1.8, f(x) = 5.04, t(x) = 6.00173, Yintra = 2.03914, Yextra = 8.04086, Igx = 1.85"
"x= 1.9, f(x) = 5.19333, t(x) = 5.99547, Yintra = 2.1956, Yextra = 8.19107, Igx = 1.95"
"x= 2, f(x) = 5.33333, t(x) = 5.97751, Yintra = 2.34458, Yextra = 8.32209, Igx = 2.05"
"x= 2.1, f(x) = 5.46, t(x) = 5.94862, Yintra = 2.48569, Yextra = 8.43431, Igx = 2.15"
"x= 2.2, f(x) = 5.57333, t(x) = 5.90949, Yintra = 2.61859, Yextra = 8.52808, Igx = 2.25"
"x= 2.3, f(x) = 5.67333, t(x) = 5.86076, Yintra = 2.74295, Yextra = 8.60371, Igx = 2.35"
"x= 2.4, f(x) = 5.76, t(x) = 5.80301, Yintra = 2.85849, Yextra = 8.66151, Igx = 2.45"
"x= 2.5, f(x) = 5.83333, t(x) = 5.73677, Yintra = 2.96495, Yextra = 8.70172, Igx = 2.55"
"x= 2.6, f(x) = 5.89333, t(x) = 5.66253, Yintra = 3.06207, Yextra = 8.7246, Igx = 2.65"
"x= 2.7, f(x) = 5.94, t(x) = 5.58074, Yintra = 3.14963, Yextra = 8.73037, Igx = 2.75"
"x= 2.8, f(x) = 5.97333, t(x) = 5.49181, Yintra = 3.22743, Yextra = 8.71924, Igx = 2.85"
"x= 2.9, f(x) = 5.99333, t(x) = 5.39612, Yintra = 3.29527, Yextra = 8.69139, Igx = 2.95"
"x= 3, f(x) = 6, t(x) = 5.29403, Yintra = 3.35299, Yextra = 8.64701, Igx = 3.05"
"x= 3.1, f(x) = 5.99333, t(x) = 5.18585, Yintra = 3.40041, Yextra = 8.58626, Igx = 3.15"
"x= 3.2, f(x) = 5.97333, t(x) = 5.07189, Yintra = 3.43739, Yextra = 8.50928, Igx = 3.25"
"x= 3.3, f(x) = 5.94, t(x) = 4.95243, Yintra = 3.46379, Yextra = 8.41621, Igx = 3.35"
"x= 3.4, f(x) = 5.89333, t(x) = 4.8277, Yintra = 3.47948, Yextra = 8.30718, Igx = 3.45"
"x= 3.5, f(x) = 5.83333, t(x) = 4.69795, Yintra = 3.48436, Yextra = 8.18231, Igx = 3.55"
"x= 3.6, f(x) = 5.76, t(x) = 4.56337, Yintra = 3.47832, Yextra = 8.04168, Igx = 3.65"
"x= 3.7, f(x) = 5.67333, t(x) = 4.42416, Yintra = 3.46125, Yextra = 7.88541, Igx = 3.75"
"x= 3.8, f(x) = 5.57333, t(x) = 4.28048, Yintra = 3.43309, Yextra = 7.71358, Igx = 3.85"
"x= 3.9, f(x) = 5.46, t(x) = 4.1325, Yintra = 3.39375, Yextra = 7.52625, Igx = 3.95"
"x= 4, f(x) = 5.33333, t(x) = 3.98033, Yintra = 3.34317, Yextra = 7.3235, Igx = 4.05"
"x= 4.1, f(x) = 5.19333, t(x) = 3.8241, Yintra = 3.28128, Yextra = 7.10538, Igx = 4.15"
"x= 4.2, f(x) = 5.04, t(x) = 3.66391, Yintra = 3.20805, Yextra = 6.87195, Igx = 4.25"
"x= 4.3, f(x) = 4.87333, t(x) = 3.49983, Yintra = 3.12342, Yextra = 6.62325, Igx = 4.35"
"x= 4.4, f(x) = 4.69333, t(x) = 3.33195, Yintra = 3.02736, Yextra = 6.35931, Igx = 4.45"
"x= 4.5, f(x) = 4.5, t(x) = 3.16031, Yintra = 2.91985, Yextra = 6.08015, Igx = 4.55"
"x= 4.6, f(x) = 4.29333, t(x) = 2.98494, Yintra = 2.80086, Yextra = 5.7858, Igx = 4.65"
"x= 4.7, f(x) = 4.07333, t(x) = 2.80588, Yintra = 2.6704, Yextra = 5.47627, Igx = 4.75"
"x= 4.8, f(x) = 3.84, t(x) = 2.62312, Yintra = 2.52844, Yextra = 5.15156, Igx = 4.85"
"x= 4.9, f(x) = 3.59333, t(x) = 2.43666, Yintra = 2.375, Yextra = 4.81166, Igx = 4.95"
"x= 5, f(x) = 3.33333, t(x) = 2.24649, Yintra = 2.21009, Yextra = 4.45658, Igx = 5.05"
"x= 5.1, f(x) = 3.06, t(x) = 2.05256, Yintra = 2.03372, Yextra = 4.08628, Igx = 5.15"
"x= 5.2, f(x) = 2.77333, t(x) = 1.85484, Yintra = 1.84592, Yextra = 3.70075, Igx = 5.25"
"x= 5.3, f(x) = 2.47333, t(x) = 1.65325, Yintra = 1.64671, Yextra = 3.29996, Igx = 5.35"
"x= 5.4, f(x) = 2.16, t(x) = 1.44772, Yintra = 1.43614, Yextra = 2.88386, Igx = 5.45"
"x= 5.5, f(x) = 1.83333, t(x) = 1.23816, Yintra = 1.21425, Yextra = 2.45241, Igx = 5.55"
"x= 5.6, f(x) = 1.49333, t(x) = 1.02448, Yintra = 0.981092, Yextra = 2.00557, Igx = 5.65"
"x= 5.7, f(x) = 1.14, t(x) = 0.806559, Yintra = 0.73672, Yextra = 1.54328, Igx = 5.75"
"x= 5.8, f(x) = 0.773333, t(x) = 0.584267, Yintra = 0.4812, Yextra = 1.06547, Igx = 5.85"
"x= 5.9, f(x) = 0.393333, t(x) = 0.357465, Yintra = 0.214601, Yextra = 0.572066, Igx = 5.95"
"x= 6, f(x) = 0.0000000000000213163, t(x) = 0.126, Yintra = -0.063, Yextra = 0.063, Igx = 6.05"
